"Discount";"Sales";"Age";"Prev_Purch";"Loyalty_card"
1;1155;25;8;0
0;1398;39;3;0
1;1534;50;6;1
1;1471;35;5;1
1;1062;51;10;0
0;1656;54;2;1
0;1347;50;7;0
0;1761;68;6;1
1;1322;40;8;1
0;1498;52;3;0
1;1533;61;8;1
1;1691;57;4;1
0;1409;40;2;0
1;1556;51;6;1
1;1599;64;6;0
1;1368;44;6;0
0;1545;54;1;0
1;1555;51;6;1
1;1380;33;4;0
0;1747;61;3;1
0;1459;50;4;0
1;1360;46;8;1
1;1520;32;2;1
0;1785;64;2;1
0;1474;51;7;1
0;1561;44;3;1
0;1751;65;5;1
0;1423;41;1;0
1;1533;45;5;1
1;1782;71;7;1
1;1549;51;6;1
0;1628;54;4;1
0;1518;52;2;0
1;1520;43;5;1
0;1579;47;2;1
0;1615;53;4;1
0;1616;53;4;1
1;1519;35;4;1
1;1620;59;1;0
1;1493;45;6;1
0;1775;65;4;1
0;1476;51;4;0
0;1352;45;6;0
0;1555;43;1;1
0;1659;55;3;1
0;1539;48;5;1
1;1480;44;6;1
1;650;55;13;1
1;1578;54;6;1
1;1573;46;4;1
0;1515;53;3;0
0;1782;63;2;1
0;1462;56;6;0
0;1500;50;2;0
0;1574;61;5;0
0;1547;45;4;1
0;1401;39;3;0
1;1377;29;3;0
1;1232;45;8;0
0;1492;54;5;0
1;1504;57;6;0
1;1682;58;5;1
0;1440;47;4;0
0;1461;56;6;0
1;1459;64;8;0
1;1488;50;4;0
0;1410;51;6;0
0;1472;51;4;0
0;1651;55;3;1
1;1369;65;10;1
0;1688;60;5;1
1;1596;48;4;1
0;1439;44;3;0
0;1714;61;4;1
1;1428;47;5;0
1;932;39;11;1
1;1404;54;7;0
0;1503;44;5;1
1;1520;38;4;1
1;1619;58;6;1
0;1398;46;5;0
0;1511;54;4;0
0;1673;62;6;1
0;1592;62;5;0
0;1474;38;5;1
1;1447;53;6;0
1;1701;56;2;1
1;1237;45;8;0
1;1500;35;4;1
1;1682;58;5;1
0;1468;53;5;0
1;1374;45;6;0
0;1494;55;5;0
1;1573;53;6;1
0;1479;54;5;0
0;1687;57;2;1
0;1684;59;4;1
1;1296;52;8;0
1;1233;56;10;1
0;1529;54;3;0
0;1619;51;2;1
1;1488;44;6;1
1;1815;73;7;1
1;1640;63;7;1
1;1413;29;6;1
0;1518;53;2;0
1;1504;47;6;1
1;1352;55;9;1
1;1366;43;6;0
0;1834;67;3;1
1;1370;47;8;1
0;1419;49;5;0
1;1558;42;3;1
0;1571;49;4;1
0;1750;63;4;1
0;1741;70;4;0
1;1594;47;2;1
0;1411;52;6;0
0;1479;50;3;0
0;1354;40;5;0
0;1432;46;4;0
0;1779;64;3;1
1;1496;45;6;1
1;1375;33;4;0
0;1317;48;7;0
0;1621;64;5;0
1;1784;64;4;1
1;1235;25;7;0
1;1262;48;8;0
1;1287;42;7;0
1;1319;39;8;1
0;1427;58;7;0
1;1689;57;4;1
0;1509;57;5;0
0;1600;50;3;1
0;1556;43;1;1
0;1631;51;1;1
0;1626;63;4;0
1;1634;53;4;1
0;1586;52;5;1
0;1390;34;2;0
0;1468;27;4;1
0;1375;38;4;0
1;1575;49;5;1
0;1293;45;7;0
0;1536;52;6;1
1;1427;32;6;1
1;1429;44;7;1
1;1569;66;7;0
0;1803;64;1;1
0;1608;54;5;1
1;1356;35;5;0
0;1488;51;3;0
1;1325;47;7;0
1;1583;54;6;1
0;1402;39;3;0
1;1505;58;6;0
1;1510;41;5;1
0;1396;51;8;1
0;1608;49;2;1
0;1644;53;2;1
0;1552;43;3;1
0;1465;48;3;0
0;1528;40;2;1
0;1725;60;3;1
1;1407;51;8;1
1;1448;48;5;0
0;1440;44;2;0
1;1297;29;6;0
1;1213;43;8;0
0;1717;58;1;1
1;1355;56;9;1
1;1892;74;6;1
1;1399;54;7;0
0;1511;56;5;0
0;1617;62;4;0
0;1520;52;0;0
1;1686;59;5;1
0;1567;60;5;0
1;1308;44;7;0
1;1455;55;8;1
0;1892;73;5;1
0;1546;61;6;0
0;1383;34;2;0
1;1497;31;4;1
0;1877;69;2;1
1;1445;42;2;0
0;1504;53;4;0
0;1627;67;6;0
0;1441;41;6;1
0;1643;53;2;1
0;1758;62;2;1
0;1441;44;2;0
0;1471;50;4;0
0;1649;54;3;1
0;1566;51;5;1
1;1491;56;6;0
0;1766;64;4;1
0;1374;43;5;0
0;1482;46;6;1
1;1187;51;9;0
0;1560;56;2;0
0;1563;44;2;1
1;1523;38;4;1
1;1382;52;7;0
0;1629;54;4;1
1;1630;52;4;1
1;1395;48;6;0
1;1496;39;5;1
1;1454;39;6;1
0;1756;63;4;1
1;1188;61;10;0
0;1405;39;2;0
1;1364;31;4;0
0;1469;56;6;0
1;1461;41;6;1
1;1436;46;7;1
1;1291;42;7;0
0;1710;60;4;1
1;1610;57;6;1
1;1341;54;9;1
0;1599;63;5;0
0;1675;56;3;1
1;1194;38;8;0
0;1428;45;4;0
0;1761;64;4;1
1;1369;32;4;0
0;1436;50;5;0
0;1636;65;5;0
1;1354;29;7;1
0;1663;63;2;0
0;1393;46;5;0
1;1470;56;8;1
1;1183;51;10;1
0;1563;47;4;1
0;1448;46;3;0
1;1608;68;7;0
0;1516;45;5;1
1;1491;51;7;1
0;1421;42;3;0
1;1630;50;3;1
0;1298;61;9;0
1;1630;51;3;1
0;1394;35;2;0
0;1515;57;5;0
0;1479;49;3;0
1;1497;40;5;1
1;1356;43;6;0
0;1560;47;4;1
0;1433;46;4;0
1;1521;48;6;1
1;1486;51;7;1
1;1095;54;10;0
0;1391;49;6;0
0;1539;70;8;0
1;1590;51;5;1
1;1351;33;5;0
0;2106;87;4;0
1;1130;45;10;1
0;1317;55;8;0
0;1601;61;4;0
1;1487;45;6;1
1;1562;45;4;1
0;1484;62;7;0
1;1678;58;5;1
1;1618;52;4;1
1;1112;44;10;1
1;1479;50;7;1
1;1365;30;7;1
1;1588;48;4;1
1;1044;25;9;0
1;1308;43;7;0
0;1523;53;3;0
1;1427;43;4;0
1;1345;56;8;0
1;1610;60;7;1
0;1740;60;2;1
1;1468;54;6;0
1;1386;59;8;0
0;1672;57;4;1
1;1599;55;6;1
1;1229;41;9;1
1;1534;55;7;1
1;1521;36;3;1
1;1673;70;8;1
1;1318;38;8;1
1;1356;31;7;1
1;1498;52;7;1
0;1720;61;4;1
1;1279;39;7;0
1;1648;54;4;1
1;1418;60;9;1
0;1625;61;2;0
0;1782;69;6;1
1;1455;40;6;1
0;1628;63;4;0
1;1436;37;6;1
1;1153;48;9;0
1;1539;42;4;1
0;1709;58;2;1
1;1756;64;5;1
0;1551;46;4;1
0;1657;63;2;0
1;1592;51;5;1
1;1252;34;7;0
0;1688;58;3;1
1;1300;52;8;0
0;1568;50;5;1
1;1455;49;5;0
1;1549;51;6;1
0;1473;53;5;0
1;1296;32;6;0
0;1513;40;4;1
1;1375;38;5;0
0;1512;54;4;0
0;1647;63;3;0
1;1491;45;6;1
1;1384;36;4;0
1;1343;32;5;0
1;1602;49;4;1
0;1384;41;4;0
1;1343;40;6;0
0;1629;52;2;1
0;1508;53;3;0
1;1548;39;2;1
1;935;54;11;0
1;1564;45;4;1
1;1282;50;8;0
0;1580;52;5;1
1;1514;48;6;1
1;1463;48;7;1
1;1657;53;3;1
0;1693;58;3;1
0;1753;61;2;1
0;1581;58;2;0
1;1697;60;5;1
1;1355;35;5;0
1;1420;32;6;1
0;1336;36;5;0
0;1467;50;4;0
0;1660;56;4;1
1;1368;37;5;0
1;1515;43;5;1
0;1779;69;6;1
0;1448;49;4;0
0;1552;59;5;0
0;1549;41;0;1
1;1459;39;6;1
1;1395;40;7;1
0;1418;47;5;0
0;1402;41;3;0
0;1502;55;5;0
0;1533;39;2;1
1;731;36;12;1
1;1689;57;4;1
1;1472;35;5;1
1;1662;57;5;1
0;1589;47;2;1
0;1382;34;3;0
0;1404;40;3;0
0;1721;60;3;1
0;1531;58;5;0
0;1627;65;5;0
1;1577;47;4;1
0;1597;61;4;0
1;1397;50;8;1
0;1364;36;4;0
0;1915;71;0;1
1;1004;49;11;1
0;1362;46;6;0
0;1358;45;6;0
1;1253;36;7;0
0;1448;47;3;0
1;1303;32;6;0
0;1517;60;6;0
0;1364;41;5;0
0;1452;46;3;0
0;1534;47;5;1
1;1457;43;2;0
1;1656;60;6;1
0;1432;46;4;0
0;1373;36;4;0
1;1328;53;9;1
0;1475;51;4;0
1;1406;41;7;1
1;1015;45;10;0
1;1501;58;8;1
0;1442;44;2;0
0;1412;41;2;0
0;1589;59;3;0
0;1776;69;6;1
1;1554;51;6;1
1;1460;48;7;1
0;1371;41;5;0
1;1439;45;7;1
1;1566;46;4;1
1;1435;46;7;1
0;1587;47;1;1
1;1499;58;8;1
1;1469;60;7;0
0;1349;39;5;0
1;1591;46;3;1
0;1496;53;4;0
0;1565;46;3;1
0;1503;51;2;0
1;1397;40;7;1
1;1676;59;5;1
1;1357;57;8;0
0;1755;70;4;0
0;1402;38;2;0
0;1579;49;4;1
0;1551;58;7;1
0;1535;47;5;1
0;1401;45;5;0
0;1366;34;4;0
0;1571;45;2;1
1;1340;40;6;0
1;1390;42;5;0
0;1381;53;7;0
1;1499;61;7;0
0;1549;46;4;1
0;1686;58;4;1
0;1570;58;4;0
1;1498;47;6;1
0;1418;39;2;0
0;1521;46;5;1
1;1286;51;8;0
1;1537;45;5;1
1;1342;56;8;0
0;1347;45;6;0
1;1310;33;6;0
0;1526;39;2;1
0;1825;66;1;1
1;1601;52;5;1
0;1789;71;2;0
0;1408;43;4;0
0;1667;55;3;1
0;1671;65;4;0
1;1487;51;7;1
1;1776;63;4;1
1;1129;57;10;0
1;1529;37;2;1
0;1774;63;3;1
0;1366;41;5;0
1;1530;41;4;1
1;1475;55;6;0
0;1459;56;6;0
1;1390;30;3;0
0;1352;40;5;0
0;1701;57;2;1
1;1561;46;4;1
0;1406;51;6;0
0;1661;56;3;1
1;1547;56;7;1
1;1523;48;6;1
0;1563;45;3;1
1;909;51;11;0
0;1508;51;2;0
1;1501;31;3;1
0;1723;69;7;1
1;1563;44;4;1
1;1528;43;5;1
0;1544;53;6;1
0;1542;54;2;0
1;1386;47;6;0
1;1870;69;4;1
1;1424;32;6;1
0;1604;49;1;1
0;1407;43;4;0
0;1445;44;2;0
1;1448;45;4;0
1;1079;36;9;0
1;1245;47;8;0
0;1721;59;1;1
1;1373;47;8;1
1;1090;54;10;0
0;1494;50;2;0
1;1601;55;6;1
1;1594;51;5;1
1;1701;63;6;1
1;1519;56;5;0
1;1530;44;5;1
0;1376;48;6;0
0;1167;51;9;0
0;1669;64;2;0
1;1565;45;4;1
0;1750;63;4;1
0;1586;62;5;0
1;1255;36;7;0
1;1095;54;10;0
1;1662;58;5;1
0;1702;58;3;1
1;1741;60;4;1
1;1544;46;5;1
1;1562;48;5;1
1;1317;35;6;0
0;1614;49;2;1
1;1310;36;6;0
0;1377;31;3;0
0;1616;61;3;0
0;1622;61;3;0
1;1327;40;8;1
0;1618;62;4;0
1;1478;36;5;1
0;1314;47;7;0
0;1687;65;2;0
1;1315;46;7;0
1;1557;52;6;1
0;1483;51;4;0
1;1523;48;6;1
0;1603;51;4;1
1;1526;36;3;1
1;1468;50;5;0
1;1551;51;6;1
1;1322;52;9;1
1;1391;39;7;1
0;1508;34;2;1
0;1754;62;3;1
1;1296;31;6;0
1;1423;50;6;0
0;1316;26;5;0
1;1512;37;4;1
0;1745;61;3;1
0;1573;47;3;1
0;1528;40;3;1
1;1264;48;9;1
1;1582;50;5;1
0;1517;57;5;0
0;1624;67;6;0
0;1553;50;5;1
0;1475;53;5;0
0;1626;52;3;1
1;1619;53;5;1
1;1267;49;8;0
0;1450;46;3;0
0;1823;74;4;0
1;1427;46;5;0
0;1578;59;4;0
0;1505;35;0;1
0;1354;39;5;0
1;1494;58;8;1
1;1454;40;6;1
1;1255;65;10;0
0;1421;41;2;0
0;1486;52;4;0
0;1713;59;3;1
1;1586;47;4;1
1;1471;35;5;1
1;1543;40;3;1
1;1119;42;9;0
0;1475;49;3;0
1;1634;63;7;1
1;1524;43;5;1
0;1502;51;2;0
0;1598;51;4;1
1;1488;29;4;1
0;1541;44;4;1
0;1571;57;3;0
0;1633;61;1;0
0;1622;64;5;0
1;1643;53;4;1
0;1427;43;2;0
1;1587;50;5;1
0;1644;55;4;1
0;1505;29;1;1
1;1373;38;5;0
0;1609;52;4;1
1;1547;57;7;1
1;1172;33;8;0
0;1592;49;2;1
1;1540;55;7;1
0;1378;54;7;0
1;1416;42;7;1
0;1512;54;4;0
1;1251;35;7;0
0;1651;54;3;1
1;1311;33;6;0
0;1570;64;6;0
1;1426;37;2;0
0;1521;42;4;1
1;1405;61;8;0
1;1524;52;3;0
0;1576;47;3;1
1;1315;53;8;0
1;1237;46;8;0
1;914;37;11;1
0;1628;63;4;0
0;1333;34;5;0
0;1486;55;5;0
0;1414;48;5;0
0;1761;62;0;1
1;1461;41;6;1
1;1595;49;4;1
0;1636;57;5;1
1;1530;50;6;1
0;1692;59;4;1
0;1750;70;4;0
1;1536;55;7;1
0;1733;69;4;0
1;1532;55;7;1
1;1626;52;4;1
1;1272;58;10;1
1;1404;42;7;1
0;1504;44;5;1
1;1393;58;9;1
0;1581;48;3;1
1;1128;56;10;0
0;1562;67;7;0
0;1596;60;3;0
0;1803;68;5;1
1;1367;47;8;1
0;1445;48;4;0
1;1464;49;7;1
0;1660;54;2;1
0;1436;45;3;0
1;1692;59;5;1
0;1594;59;3;0
1;1345;56;8;0
0;1507;36;3;1
1;1261;46;9;1
0;1293;45;7;0
0;1374;29;1;0
1;1363;44;6;0
0;1607;50;2;1
1;1594;47;3;1
1;1491;45;6;1
1;1281;48;9;1
0;1416;39;2;0
0;1424;43;3;0
0;1596;49;2;1
0;1417;47;5;0
0;1587;56;6;1
0;1560;56;2;0
0;1278;60;9;0
0;1615;55;5;1
0;1552;66;7;0
0;1344;37;5;0
0;1671;67;5;0
0;1523;40;3;1
0;1334;28;4;0
1;1464;51;5;0
0;1517;38;3;1
0;1377;38;4;0
0;1637;61;1;0
0;1609;50;3;1
1;1702;58;4;1
0;1388;37;3;0
1;1452;39;6;1
1;1516;62;7;0
1;991;44;10;0
1;1612;56;6;1
0;1615;50;1;1
1;1496;52;7;1
1;1556;56;7;1
1;1546;41;4;1
0;1479;58;8;1
1;907;51;11;0
1;1481;34;5;1
0;1516;45;5;1
0;1710;58;0;1
0;1616;62;4;0
1;1435;53;8;1
1;1776;67;6;1
0;1722;60;3;1
0;1425;46;4;0
1;1456;47;7;1
0;1529;40;3;1
1;1574;54;6;1
0;1537;55;3;0
0;1770;62;1;1
1;1324;53;9;1
1;1560;57;7;1
0;1582;52;5;1
1;1282;30;8;1
1;1266;48;8;0
0;1490;52;4;0
0;1439;64;8;0
1;1541;60;6;0
1;1471;33;5;1
0;1750;62;3;1
0;1591;58;1;0
1;1496;41;5;1
1;1420;55;7;0
0;1509;39;4;1
1;1242;46;8;0
0;1388;49;6;0
0;1608;53;4;1
1;1382;41;5;0
0;1691;57;1;1
0;1634;57;5;1
1;1398;54;7;0
1;1058;32;9;0
0;1766;71;4;0
0;1569;57;2;0
0;1763;69;1;0
1;1526;43;5;1
0;1740;67;6;1
0;1469;46;0;0
0;1587;60;4;0
0;1591;58;2;0
1;1225;54;9;0
0;1570;57;2;0
1;1647;59;6;1
1;823;50;12;1
1;1551;52;6;1
1;1594;67;7;0
0;1672;56;3;1
0;1830;67;2;1
1;1541;46;5;1
1;1558;65;7;0
0;1451;46;3;0
0;1415;43;4;0
1;1658;57;5;1
1;1535;40;4;1
0;1573;59;4;0
1;1671;56;4;1
0;1540;52;6;1
0;1489;41;5;1
0;1443;46;3;0
0;1609;54;5;1
1;1506;40;5;1
1;1592;51;5;1
0;1453;46;1;0
0;1630;52;3;1
1;1245;30;7;0
0;1431;58;7;0
1;1563;49;5;1
0;1374;32;2;0
1;1513;35;3;1
1;1734;68;7;1
0;1493;51;3;0
0;1588;49;4;1
0;1640;53;2;1
1;1459;31;5;1
0;1645;52;2;1
0;1437;43;2;0
0;1638;62;3;0
1;1564;45;4;1
1;1531;39;3;1
0;1374;42;5;0
0;1625;56;5;1
0;1609;50;3;1
1;1327;42;8;1
0;1549;55;2;0
1;1082;36;9;0
1;1419;32;6;1
0;1623;63;4;0
0;1552;43;2;1
1;1509;36;4;1
0;1515;52;2;0
0;1572;46;3;1
0;1411;43;4;0
0;1396;43;4;0
1;1386;40;5;0
1;1803;65;4;1
1;1595;48;4;1
1;1469;36;5;1
0;1653;66;5;0
1;1373;46;8;1
0;1683;65;3;0
0;1669;55;2;1
1;1361;32;7;1
1;1401;48;6;0
1;1515;36;4;1
0;1411;40;3;0
1;1285;49;9;1
1;1460;59;7;0
1;1382;52;7;0
0;1528;46;5;1
1;1401;41;7;1
1;1502;47;6;1
0;1556;55;0;0
1;1503;36;4;1
0;1481;49;2;0
1;1501;52;7;1
0;1430;43;3;0
0;1438;47;4;0
1;1671;61;6;1
0;1328;42;6;0
1;1885;70;4;1
1;1646;52;3;1
1;1400;39;7;1
0;1818;66;3;1
0;1469;27;4;1
1;1083;53;10;0
0;1425;45;4;0
0;1577;57;3;0
0;1293;45;7;0
1;1610;53;5;1
1;1550;47;5;1
0;1394;38;3;0
0;1838;70;5;1
0;1666;55;2;1
0;1874;69;3;1
1;1622;54;5;1
0;1426;57;7;0
1;1481;50;7;1
0;1512;52;2;0
0;1807;66;3;1
0;1524;42;4;1
1;1589;51;5;1
1;1327;38;6;0
1;1426;56;7;0
0;1562;50;5;1
1;1394;49;8;1
0;1554;58;4;0
0;1412;47;5;0
0;1627;65;5;0
1;1438;36;6;1
0;1479;49;2;0
1;1586;59;7;1
0;1848;67;2;1
0;1694;66;4;0
0;1867;70;4;1
1;1615;51;4;1
1;1376;34;7;1
1;1633;55;5;1
0;1389;37;3;0
1;1500;46;6;1
0;1595;61;4;0
0;1504;63;7;0
0;1672;59;5;1
0;1454;48;4;0
1;1543;55;4;0
1;1548;62;8;1
1;1361;43;6;0
0;1523;42;4;1
1;1362;30;7;1
1;1284;32;8;1
0;1549;43;3;1
1;1348;55;9;1
1;1401;48;6;0
0;1627;56;5;1
1;1296;61;10;1
1;1557;52;6;1
0;1278;42;7;0
0;1491;58;6;0
1;1315;52;9;1
1;1552;51;6;1
1;1222;41;9;1
0;1373;42;5;0
1;1432;51;6;0
1;1504;52;4;0
0;1578;52;5;1
1;1562;58;5;0
0;1544;57;4;0
1;1355;57;8;0
1;1172;60;10;0
0;1682;68;5;0
1;1409;42;7;1
0;1347;30;4;0
1;1507;36;4;1
0;1555;63;6;0
1;1302;44;7;0
1;1555;44;4;1
1;1455;39;6;1
1;1231;44;8;0
0;1649;61;6;1
0;1328;33;5;0
0;1426;45;4;0
1;1458;39;6;1
0;1439;47;4;0
1;1368;29;4;0
0;1386;44;5;0
0;1657;63;2;0
1;1372;31;7;1
0;1585;50;4;1
0;1445;46;3;0
1;948;34;10;0
0;1382;48;6;0
0;1390;44;5;0
1;1505;47;6;1
0;1510;53;4;0
1;1335;39;6;0
0;1666;65;4;0
0;1513;34;1;1
0;1384;39;4;0
1;1411;27;6;1
0;1628;51;1;1
0;1402;47;5;0
0;1457;49;4;0
1;1518;42;5;1
1;1441;47;5;0
1;1716;64;6;1
0;1636;53;3;1
1;1389;42;5;0
0;1802;65;2;1
0;1600;60;3;0
1;1643;54;4;1
1;1413;26;6;1
0;1577;49;4;1
1;1493;38;5;1
0;1546;49;5;1
0;1513;57;5;0
0;1521;40;3;1
1;1557;41;3;1
0;1527;40;3;1
1;1562;45;4;1
1;1435;44;4;0
0;1930;78;2;0
0;1672;57;4;1
0;1374;39;4;0
0;1539;57;7;1
1;1591;50;5;1
0;1349;30;4;0
0;1739;64;5;1
0;1568;46;2;1
1;1094;40;9;0
1;1521;54;7;1
0;1412;47;5;0
0;1497;50;2;0
1;1404;55;7;0
1;1290;50;9;1
0;1570;59;4;0
1;1514;41;5;1
1;1303;38;8;1
0;1363;39;5;0
1;1408;42;7;1
1;1473;50;7;1
1;1424;33;6;1
1;1431;36;6;1
1;1600;52;5;1
0;1433;45;3;0
1;1573;49;5;1
1;1469;49;7;1
0;1446;46;2;0
0;1453;48;4;0
1;1511;47;6;1
1;1506;53;7;1
1;1314;45;7;0
1;1471;55;6;0
0;1757;65;5;1
0;1762;66;5;1
1;1457;59;7;0
1;1520;39;4;1
1;1624;62;7;1
0;1408;39;3;0
0;1632;52;1;1
1;1628;52;4;1
0;1556;57;3;0
0;1493;28;1;1
0;1628;51;1;1
0;1503;35;3;1
0;1385;44;5;0
1;1528;49;6;1
0;1580;58;3;0
1;1636;52;4;1
1;1298;38;8;1
0;1559;56;3;0
0;1482;50;3;0
0;1560;63;6;0
0;1656;55;3;1
1;1518;35;3;1
1;1448;45;4;0
0;1476;61;7;0
0;1289;37;6;0
0;1686;57;3;1
1;1243;46;8;0
0;1540;56;4;0
0;1651;56;4;1
0;1545;44;4;1
0;1506;54;4;0
0;1639;64;7;1
0;1449;46;3;0
1;1234;64;10;0
1;1505;47;6;1
0;1393;37;3;0
0;1550;56;3;0
0;1428;46;4;0
0;1832;74;4;0
1;1526;54;7;1
1;1248;57;10;1
1;1341;30;5;0
1;1373;40;5;0
1;1557;44;4;1
1;1469;49;7;1
0;1369;47;6;0
1;1571;63;6;0
1;1532;40;4;1
1;1587;47;4;1
0;1473;57;6;0
0;1572;57;2;0
1;1280;29;8;1
0;1416;47;5;0
1;1606;50;4;1
1;1304;31;6;0
0;1385;48;6;0
1;1230;55;9;0
1;1287;33;8;1
0;1474;51;4;0
0;1564;43;1;1
1;1575;44;2;1
0;1441;46;3;0
0;1847;67;2;1
1;1522;49;6;1
1;1518;60;8;1
0;1616;61;3;0
1;1463;63;9;1
1;1524;48;6;1
1;1080;38;10;1
0;1808;72;1;0
1;1367;36;5;0
1;1480;43;6;1
1;1548;57;7;1
1;1634;58;6;1
1;1378;65;9;0
1;1366;36;5;0
1;1070;33;9;0
0;1447;48;4;0
1;175;62;15;1
0;1662;59;5;1
1;1536;55;7;1
0;1521;50;6;1
1;1425;50;6;0
0;1452;49;4;0
0;1637;65;5;0
1;1442;52;6;0
0;1567;56;1;0
1;750;41;12;1
1;1392;49;8;1
1;1348;32;5;0
1;1542;46;5;1
0;1463;50;4;0
0;1582;57;1;0
1;1484;36;5;1
0;1471;51;7;1
1;1492;32;4;1
1;1551;46;5;1
0;1438;47;4;0
1;1444;38;6;1
1;1383;46;6;0
1;1505;29;3;1
0;1395;42;4;0
0;1548;57;4;0
1;1507;42;5;1
1;1498;52;7;1
1;1477;26;4;1
0;1389;38;3;0
0;1788;67;5;1
0;1715;63;5;1
0;1590;49;3;1
0;1674;56;3;1
1;1600;51;5;1
0;1457;43;6;1
0;1469;47;2;0
